k,p,lambda2_mean,lambda2_sem,clustering_mean,clustering_sem,pathlen_mean,pathlen_sem,degvar_mean,degvar_sem,delta_mean,delta_sem,tstar_mean,tstar_sem,plateau_mean,plateau_sem
6,0.0,0.055142639057128816,1.5918914372148438e-18,0.5999999999999999,2.54702629954375e-17,8.757575757575756,4.07524207927e-16,0.0,0.0,0.540854732936248,0.008782305476724888,7.15,0.4488288854575345,0.06671344368948437,0.0012127146594099615
6,0.01,0.06964701417792901,0.004194456465456029,0.582770238095238,0.002431478477189141,6.43569696969697,0.17173016562777096,0.06500000000000002,0.007521897856819186,0.413999140477262,0.017186999309136537,9.2,1.0750764966662654,0.053087631703405434,0.0013704652663764363
6,0.03,0.12367829686599985,0.007701872725112287,0.5524416666666665,0.0026815828101524283,4.903777777777778,0.09058405369820349,0.168,0.010896643616511607,0.2490158184170796,0.01431766433840944,24.05,13.527452594047796,0.04101689144920656,0.0008069815403818513
6,0.05,0.16103523942713216,0.010019717231797997,0.5239853174603175,0.0059886458984974664,4.460909090909091,0.09950350057841237,0.256,0.0164540828399903,0.22470824145893675,0.016853159592480516,70.75,23.905722173395617,0.037357385527665,0.000860099094907847
6,0.1,0.32735141612504864,0.013616350886174713,0.44684484126984125,0.006285839030131637,3.651464646464646,0.03901020556060512,0.5660000000000001,0.028584132514018108,0.1459764541125717,0.0074820795147803425,202.2,37.86879009366282,0.030176928365073363,0.0004136552183479801
6,0.2,0.6347314715596193,0.022237240085385163,0.3343896825396825,0.005749427006947989,3.201373737373738,0.017471238350482005,1.0459999999999998,0.04057741139833188,0.13099914875940746,0.0038559909041868314,264.9,32.38769259423937,0.02619400496640493,0.00015190673000972933
6,0.3,0.9352150923170315,0.016512795660948557,0.2277484126984127,0.004668869441415337,2.966292929292929,0.008861058784812357,1.552,0.05633359285728655,0.11777576972818662,0.004060517179617861,224.35,25.067306764410343,0.024112131101612432,7.151732018685121e-05
6,0.4,1.1614132851417656,0.027056045938566455,0.15873679376179375,0.004780997702543662,2.8581414141414143,0.006869743797094472,1.9920000000000002,0.0622626017682153,0.11591189994238542,0.0032470977491876442,246.0,40.7417411714842,0.023303233102812713,6.094396941968675e-05
6,0.5,1.3771405172355475,0.02110799156025821,0.11003531746031747,0.0032951193711216716,2.7951010101010096,0.0035954301648980337,2.1799999999999997,0.05843574969233528,0.11091090538617661,0.003686792721081313,242.1,29.563393082092517,0.022899491995836328,4.098201245568852e-05
6,0.7,1.5144571612630446,0.017351611050516955,0.06606753801753801,0.002716408888594574,2.7414343434343436,0.0027993469292466543,2.691,0.08937767294493984,0.10787425530458099,0.0043340566771249015,226.6,37.949232014973845,0.022661706515797356,6.010534377570932e-05
6,0.9,1.5545172259590738,0.01581434990472649,0.04783194305694306,0.002387031321467312,2.729292929292929,0.0024651431855808635,2.7479999999999998,0.07746510249953303,0.10563748155955348,0.0029499672650335888,258.5,34.25004802147997,0.022513799896503234,3.26225586455232e-05
6,1.0,1.57051066889699,0.021623244496095487,0.04922202242202242,0.0019394413482106603,2.7238484848484847,0.0027236463574499548,3.0140000000000002,0.10198142245681704,0.10268915215905801,0.0029305632832114935,223.4,32.34366447357113,0.022519064496785764,3.958007056713181e-05
