m,realization,N,E,k_mean,C,L,lambda2
120,0,1000,105600,211.2,0.30416173927655016,1.7885885885885886,115.68805129957072
120,1,1000,105600,211.2,0.30315963666065854,1.7885885885885886,115.64741787378824
120,2,1000,105600,211.2,0.3043944608813932,1.7885885885885886,115.76747549831842
120,3,1000,105600,211.2,0.3060384607583019,1.7885885885885886,115.68874932736482
120,4,1000,105600,211.2,0.3038017732939753,1.7885885885885886,115.73775056099129
120,5,1000,105600,211.2,0.3029536115794372,1.7885885885885886,115.76871285217713
120,6,1000,105600,211.2,0.3049233184194689,1.7885885885885886,115.71821325197175
120,7,1000,105600,211.2,0.3029628636987728,1.7885885885885886,115.75853041904048
120,8,1000,105600,211.2,0.3040984148379515,1.7885885885885886,115.75689679141269
120,9,1000,105600,211.2,0.3038345437025908,1.7885885885885886,115.87434202041398
120,10,1000,105600,211.2,0.3034700857620502,1.7885885885885886,115.59494671877144
120,11,1000,105600,211.2,0.30555958782779685,1.7885885885885886,115.5457339263969
120,12,1000,105600,211.2,0.30477424410195175,1.7885885885885886,115.78041226314815
120,13,1000,105600,211.2,0.3035412797065217,1.7885885885885886,115.66394255361384
120,14,1000,105600,211.2,0.30475758727834695,1.7885885885885886,115.68616851885034
120,15,1000,105600,211.2,0.302947511589877,1.7885885885885886,115.33735919102772
120,16,1000,105600,211.2,0.30439311112167133,1.7885885885885886,115.31205689413194
120,17,1000,105600,211.2,0.3018940511124423,1.7885885885885886,115.44457974338091
120,18,1000,105600,211.2,0.3042840183490753,1.7885885885885886,115.42182073023139
120,19,1000,105600,211.2,0.30385779551923436,1.7885885885885886,115.62009639894177
120,20,1000,105600,211.2,0.305499870139603,1.7885885885885886,115.23044839058237
120,21,1000,105600,211.2,0.30485154797004166,1.7885885885885886,115.33963687941525
120,22,1000,105600,211.2,0.3054121972755608,1.7885885885885886,115.52882346111153
120,23,1000,105600,211.2,0.30649356838190905,1.7885885885885886,115.5846605277883
120,24,1000,105600,211.2,0.30452989479550757,1.7885885885885886,115.63326063355022
120,25,1000,105600,211.2,0.30584090216660714,1.7885885885885886,115.65158939766118
120,26,1000,105600,211.2,0.3056887174567386,1.7885885885885886,115.56955050463125
120,27,1000,105600,211.2,0.3037302391980458,1.7885885885885886,115.49454785006725
120,28,1000,105600,211.2,0.30494796097614474,1.7885885885885886,115.7645217759006
120,29,1000,105600,211.2,0.30532755746447365,1.7885885885885886,115.71597504108107
