k,p,lambda2_mean,lambda2_sem,clustering_mean,clustering_sem,pathlen_mean,pathlen_sem,degvar_mean,degvar_sem,delta_mean,delta_sem,tstar_mean,tstar_sem,plateau_mean,plateau_sem
12,0.0,0.3563103124330504,1.273513149771875e-17,0.6818181818181818,0.0,4.636363636363638,2.037621039635e-16,0.0,0.0,0.23748106818899833,0.013037468391370953,92.8,37.154060485044106,0.03245579344164505,0.00038068046321139475
12,0.01,0.4073822841797109,0.009732338252457163,0.6642946719946721,0.0024202298229713025,3.5968383838383837,0.0892809177790341,0.11000000000000001,0.012937094768634555,0.18596644225561537,0.009646215710707801,117.6,32.43409512096475,0.029854799857363955,0.0003653687182054274
12,0.03,0.5641274373916411,0.018243273008668015,0.634193512043512,0.0033655932061027985,2.9807676767676767,0.03481729752708417,0.299,0.023551734766813163,0.15908440137858287,0.006127198389856547,186.15,34.65243023299566,0.027293687708750153,0.0002571910930078575
12,0.05,0.7522817529510909,0.02147342863781011,0.5955959887334886,0.0034398903934777943,2.7347373737373735,0.016545127221714,0.567,0.02723291352292972,0.13398301144723593,0.006049033702946372,229.05,37.348886758580406,0.02542986474629868,0.0002149066232638439
12,0.1,1.3021555240244636,0.03006506863663756,0.5111526459651461,0.0036607621581251646,2.4753636363636367,0.007400125744511929,1.113,0.02799530035747541,0.12002912140255928,0.003545855468696837,202.95,32.072653952845045,0.023390936924887445,8.202780017800402e-05
12,0.2,2.1809237125320147,0.039307829833596916,0.3863035040123276,0.004560626908889881,2.3098888888888887,0.004810043313939197,2.125,0.04642764602894996,0.11368225720844036,0.0036842065141457925,264.3,30.43406159655917,0.021884468806800415,8.014288516776484e-05
12,0.3,3.0452192019134112,0.04286596066326588,0.2858035731468394,0.0032864027812063643,2.21179797979798,0.003005869955596732,3.087,0.10549407566304375,0.10285942384922642,0.0028034110243189496,273.65,26.199364696998202,0.02122417548630168,3.4754338183650246e-05
12,0.4,3.869407749948811,0.047450782994214576,0.21427556445532453,0.0024382534475783477,2.1515858585858587,0.0024909860103772006,3.4519999999999995,0.12276978884331267,0.10740888987937638,0.003054911858478204,284.55,29.759870100876658,0.020898318214378674,4.012819308828557e-05
12,0.5,4.527055900700576,0.04896603686028273,0.16988455152518622,0.0026152327657797156,2.116787878787879,0.0024065855299294945,4.328,0.091965668651548,0.10372025377825984,0.001954406203158208,252.55,31.178389529996746,0.020752158225717243,3.133242708338734e-05
12,0.7,5.127081902673683,0.04692129183762948,0.12086674394147304,0.0013460780475451253,2.079585858585858,0.0010886497761349173,5.465999999999999,0.1371138597163532,0.10143088080550651,0.002442739074035506,299.2,31.86274841946478,0.020639672655230062,2.490362764972367e-05
12,0.9,5.218221533487039,0.04567312686595543,0.11298660810723504,0.0018319584495641683,2.0741717171717173,0.0014526743089015798,5.585000000000001,0.17352005799421516,0.10189559296954456,0.002009233944390803,213.7,30.734525417380027,0.02057569307724918,2.3510522405226333e-05
12,1.0,5.202176134822653,0.04634449451332189,0.11406458722362275,0.0013169738876117956,2.0736161616161612,0.0007750284540946543,5.495,0.14400201021988693,0.10525871371077826,0.002615058664574316,288.75,25.75940043025683,0.020590948984662093,3.312445250391875e-05
