k,p,plateau_mean,plateau_sem,vmin_mean,tstar_mean,delta_mean,delta_sem,C_mean,C_sem,L_mean,L_sem,lambda2_mean,lambda2_sem,inv_lambda2_mean
8,0.0,0.04688874541814681,0.000579571343679997,0.028310141743364308,9.1,0.3937133413054856,0.008097338018283476,0.6428571428571428,2.0616324000971782e-17,6.696969696969696,1.6493059200777426e-16,0.11797631679985265,0.0,8.476277503191632
8,0.01,0.040356518068472194,0.0008684713921097231,0.027980244612120835,9.4,0.29846820166901655,0.0148019755309383,0.6225896825396826,0.0021874811006783127,4.899959595959596,0.12793452063183725,0.15097924016162917,0.005318114251711686,6.623427160776945
8,0.03,0.0332500302532078,0.00030974401108197343,0.027076504263303804,49.5,0.184013155667805,0.007550368600447504,0.5887835978835979,0.002178581703596836,3.834053872053872,0.031100630898700327,0.23088176371290178,0.005174565106594834,4.331221244669137
8,0.05,0.029797010383448334,0.00029706504992509206,0.025740588826539946,118.4,0.13510906575077633,0.005216169362184925,0.5534707792207793,0.0035256715465248195,3.431030303030303,0.029584797045680292,0.35942210468712593,0.011416017397220011,2.782244016044845
8,0.1,0.026347087387672156,0.00013127173279869016,0.023463916497574885,267.06666666666666,0.10919169283310072,0.003231815959044463,0.47622881192881195,0.0036552062181107346,3.032255892255892,0.013937759419472966,0.604629356032839,0.01819885506577902,1.6539058019963018
8,0.2,0.023735562183149934,0.00010271532566730361,0.021443103587238346,229.46666666666667,0.09635929036843464,0.0029264670094250544,0.3548588208088208,0.005507826168506876,2.735723905723906,0.010602881472007993,1.1068376479732447,0.03354744149087074,0.9034748698972451
8,0.3,0.022687378722660245,4.3858695713118665e-05,0.02052741149263798,238.0,0.09515457223957166,0.0037709520959122926,0.2673788544788545,0.0038025830774312598,2.6051717171717166,0.004570801267573057,1.4977202078046983,0.02695029160261327,0.6676814499723965
8,0.4,0.022020315578627114,4.2478144789538475e-05,0.01992160144390862,269.6,0.09522591464315282,0.0025673066696867254,0.18616481296481296,0.0034468130073491577,2.5127340067340067,0.003525078143809637,1.9692152360846011,0.024023739618028006,0.5078165056189105
8,0.5,0.021764871309509222,2.8007320698256747e-05,0.01981957919703,264.8,0.08936497886649278,0.0018519487075630797,0.1330621508121508,0.0028554826918018787,2.4612727272727275,0.0026363202639856876,2.338594087062918,0.027581812782810786,0.4276073413218614
8,0.7,0.02149275420585759,2.7979888422129776e-05,0.019579656231625584,232.93333333333334,0.08898430022887469,0.0022279763330041802,0.07975473110767228,0.001576065306277789,2.4206464646464645,0.0012117109100836221,2.6692906950751634,0.018822770599518878,0.3746313587519704
8,0.9,0.021505226297388973,2.362556013655109e-05,0.019572504743460475,235.13333333333333,0.08985141437669791,0.0019381061082556423,0.07198225108225108,0.00144732557422536,2.4155959595959597,0.0013895592779557913,2.682245624179549,0.02011775039414081,0.3728219336012086
8,1.0,0.021486864408165978,2.9514611466293132e-05,0.019612325099210893,292.3666666666667,0.08718826127782854,0.002670909825528101,0.07220048285048283,0.001843414135645928,2.41813468013468,0.0013180140652889758,2.6659682454284406,0.016870854006443496,0.37509824121678265
